CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,3,Hibernating
12347,2,7,4310.0,0,Champions
12348,75,4,1797.24,0,Champions
12349,19,1,1757.55,0,Champions
12350,310,1,334.4,1,At Risk
12352,36,8,2506.04,0,Champions
12353,204,1,89.0,1,At Risk
12354,232,1,1079.4,1,At Risk
12355,214,1,459.4,1,At Risk
12356,23,3,2811.43,0,Champions
12357,33,1,6207.67,0,Champions
12358,2,2,1168.06,0,Champions
12359,58,4,6372.58,0,Champions
12360,52,3,2662.06,0,Champions
12361,287,1,189.9,1,At Risk
12362,3,10,5226.23,0,Champions
12363,110,2,552.0,0,Champions
12364,8,4,1313.1,0,Champions
12365,291,2,641.38,1,At Risk
12367,4,1,168.9,0,Champions
12370,51,4,3545.69,0,Champions
12371,45,2,1887.96,0,Champions
12372,72,3,1298.04,0,Champions
12373,311,1,364.6,1,At Risk
12374,25,1,742.9300000000001,0,Champions
12375,11,2,457.5,0,Champions
12377,315,2,1628.12,1,At Risk
12378,130,1,4008.62,0,Champions
12379,82,2,852.24,0,Champions
12380,22,4,2724.81,0,Champions
12381,5,5,1845.31,0,Champions
12383,185,5,1850.56,1,At Risk
12384,29,2,585.27,0,Champions
12386,338,2,401.9,1,At Risk
12388,16,6,2780.66,0,Champions
12390,80,1,549.84,0,Champions
12391,22,1,460.89,0,Champions
12393,72,4,1582.6,0,Champions
12394,64,2,1272.48,0,Champions
12395,19,12,3018.63,0,Champions
12397,36,2,2409.9,0,Champions
12398,46,1,1635.66,0,Champions
12399,119,4,1108.65,0,Champions
12401,303,1,84.3,1,At Risk
12402,323,1,225.6,1,At Risk
12403,50,1,427.7,0,Champions
12405,149,1,1710.39,1,At Risk
12406,22,2,3415.3,0,Champions
12407,50,5,1708.12,0,Champions
12408,33,5,2888.55,0,Champions
12409,79,3,11072.67,0,Champions
12410,309,2,693.3299999999999,1,At Risk
12412,75,3,1226.88,0,Champions
12413,67,3,758.1,0,Champions
12414,217,3,562.41,1,At Risk
12415,24,21,124914.53,2,New Customers
12417,3,9,3649.1,0,Champions
12418,113,1,668.58,0,Champions
12420,64,1,600.39,0,Champions
12421,16,4,807.04,0,Champions
12422,96,3,803.5600000000001,0,Champions
12423,1,8,1859.31,0,Champions
12424,163,2,1760.96,1,At Risk
12425,78,1,777.2,0,Champions
12426,195,1,582.73,1,At Risk
12427,22,3,825.8,0,Champions
12428,26,9,7956.46,0,Champions
12429,9,4,3750.4,0,Champions
12430,43,1,256.4,0,Champions
12431,36,15,6487.45,3,Hibernating
12432,43,5,5059.32,0,Champions
12433,1,7,13375.87,0,Champions
12434,85,2,806.14,0,Champions
12435,80,2,7829.89,0,Champions
12436,100,1,509.01,0,Champions
12437,2,18,4951.41,3,Hibernating
