ds,yhat,yhat_lower,yhat_upper
2010-12-01,42465.68198313942,28805.606591925407,55673.87259193088
2010-12-02,50847.03700720368,37955.72013516876,63913.5766232615
2010-12-03,39688.45625750204,26201.071362218074,53026.947203518845
2010-12-05,27310.501665592063,13845.197061740017,40517.90493666278
2010-12-06,38473.62346436758,25651.782473501302,51195.025762487276
2010-12-07,42205.77185325758,27663.799647923155,55746.868970804884
2010-12-08,36254.00566252286,22840.91378153817,50484.577084854674
2010-12-09,43596.875053908785,30412.12209974154,57653.45311032582
2010-12-10,31438.886396169568,17776.9295226021,44718.64677037147
2010-12-12,17273.591905861,4370.742915911368,31074.584777816686
2010-12-13,27693.975631657126,14849.0447421633,40556.03025862396
2010-12-14,30811.644460501106,16782.9262865425,45541.82857329007
2010-12-15,24391.654638278775,11489.752414777842,37915.99352710931
2010-12-16,31427.740681989217,18504.001833426057,45322.671552745574
2010-12-17,19136.32678052542,5671.566276554022,32724.13114096237
2010-12-19,5253.414220447234,-8861.110891197675,18043.599888554814
2010-12-20,16094.150422349487,2236.5385955448983,30279.264572855736
2010-12-21,19814.332760680314,6084.428615982179,33070.106751418316
2010-12-22,14170.792434531006,538.8251936409029,27568.502096352346
2010-12-23,22144.95100688368,8945.455151080392,35959.89289215135
2011-01-04,23172.13064276354,8928.48545780788,35384.895496059726
2011-01-05,19818.524836894536,5810.388829256105,32975.664228493304
2011-01-06,29896.202024608712,16286.3140638682,43223.30500130081
2011-01-07,20564.019684443083,6293.622198798934,32931.91595294543
2011-01-09,12131.10217430233,-565.2333528714231,25122.7713767748
2011-01-10,25360.16320674062,11187.685229116641,38316.62666498186
2011-01-11,31183.80877285201,18008.918947737413,44150.31134341914
2011-01-12,27321.063438301557,14958.657742839727,40585.812414860186
2011-01-13,36722.62575491308,22762.125809535617,49541.59947273742
2011-01-14,26565.814675038884,13539.132270438738,40951.29340995857
2011-01-16,16127.708329547228,1692.536645291069,29133.624808048717
2011-01-17,28227.18134764016,15192.808660640798,41538.798135369194
2011-01-18,32873.38794426063,19728.358302422024,46383.640057003446
2011-01-19,27814.052969904544,14083.388550159907,41083.980718813626
2011-01-20,36028.59663094688,21833.93055879853,48732.89502441549
2011-01-21,24722.37272677444,11319.614213816187,37713.94449174015
2011-01-23,12202.89017228348,-2107.3984618396134,24460.018256196574
2011-01-24,23417.08289060993,10318.661932690951,37143.14169362823
2011-01-25,27307.876076890152,13765.719495431022,41207.885114911245
2011-01-26,21638.355526250947,6672.5996014279,34936.82243432529
2011-01-27,29399.41167713319,17075.094759260945,41934.839606290574
2011-01-28,17803.745475840584,4948.25442208475,30419.994575391556
2011-01-30,5205.658628894642,-8909.169537244234,18481.397969760746
2011-01-31,16624.214842210138,3760.715110599809,29438.220066815375
2011-02-01,20870.7727603414,5796.349574106556,34268.584102406
2011-02-02,15695.501639194617,3579.013530047563,29383.98497725779
2011-02-03,24073.127665942582,11232.96204451872,37373.0969812359
2011-02-04,13197.418638517605,264.088841277798,25574.559153518283
2011-02-06,2263.1549550391283,-11602.832341113131,15825.853353029492
2011-02-07,14579.015578531782,1451.3075595687262,27688.62110073656
2011-02-08,19734.422744996777,6013.775184137514,33542.926945929
2011-02-09,15455.724351821358,2302.9253907581146,28400.58877036022
2011-02-10,24694.759297528104,10645.744914188417,38942.1193190475
2011-02-11,14623.938702121419,120.45350199507276,27971.84225185707
2011-02-13,5055.308504121833,-8522.045362587744,18949.273884510534
2011-02-14,17901.443471295544,4768.762758677278,31321.82226255962
2011-02-15,23470.364301687026,9757.350896620397,36853.54128338006
2011-02-16,19481.441667726467,6081.253342147989,33653.81172900972
2011-02-17,28883.161913486798,14982.656539213376,41879.73595886629
2011-02-18,18848.228823724327,6093.017828263629,32014.494097951454
2011-02-20,8989.81497740297,-5136.793153152402,21675.77077070976
2011-02-21,21527.87015756398,8308.45306026212,35794.003022158955
2011-02-22,26696.492906269392,13922.540329866757,39563.135721284874
2011-02-23,22230.511485141662,8338.054354658318,34949.64512581634
2011-02-24,31095.72169215689,17757.30479916387,43937.92244801878
2011-02-25,20483.458642296697,7353.573825675257,33613.40877018188
2011-02-27,9425.688336457446,-3500.9550537812856,22128.115568664747
2011-02-28,21380.500729757223,7297.505994057167,34258.86598005409
2011-03-01,26001.506196726554,12917.886346509766,40162.900338154766
2011-03-02,21040.350881229868,7667.031351262638,33846.28099815052
2011-03-03,29477.729457813522,16057.541330724342,42884.12902403237
2011-03-04,18517.549526134007,4901.208566868425,32719.196121777313
2011-03-06,7040.418008484121,-6190.919680036359,20741.256561661667
2011-03-07,18934.69460142526,4886.27008127029,31798.15412191371
2011-03-08,23596.65406543468,10516.678223463514,37799.132761212386
2011-03-09,18775.55762965109,5509.8452127914925,32504.99868291193
2011-03-10,27446.682818267935,14231.429153689924,40897.490060350785
2011-03-11,16805.683147238695,3257.8939792836472,30940.066098749685
2011-03-13,6177.7396228874095,-7191.290453666837,19510.447135997725
2011-03-14,18574.163501450512,4938.25142244199,32030.612300596316
2011-03-15,23768.850186654803,10482.837182178811,36708.8529009758
2011-03-16,19494.030126413883,5741.4505073119935,33297.78390425206
2011-03-17,28707.611590363347,15381.915991093765,42653.63711390753
2011-03-18,18588.060265686116,4896.759237290808,31978.35046491701
2011-03-20,8875.185275158616,-4726.496854947816,22162.78939419426
2011-03-21,21636.222904082235,8514.813173711686,35203.50843922962
2011-03-22,27117.349866018594,12555.556912087935,41056.21897272522
2011-03-23,23041.496194139952,8779.906502367261,36578.902061619825
2011-03-24,32359.898638511637,19524.131732465008,45273.15117556119
2011-03-25,22247.168204696412,8433.19793983707,34797.48015833901
2011-03-27,12253.144930157945,-1155.829308243869,25316.920891026813
2011-03-28,24733.106453150755,11980.164100537135,38581.9199985592
2011-03-29,29848.72888882008,15999.458154548016,42879.00958893152
2011-03-30,25333.053868457308,11785.606249856244,38263.73483781768
2011-03-31,34149.63194064282,21236.004826154567,47895.53268431903
2011-04-01,23487.230010692147,10765.048862531681,36712.08348511227
2011-04-03,12313.648149225755,-968.0517831853666,26079.85284269411
2011-04-04,24197.358040988744,11081.383981769946,36433.192917184504
2011-04-05,28735.1864693738,16476.73498134123,42273.99340864439
2011-04-06,23676.78399673011,9978.724682350814,37819.685400458766
2011-04-07,32001.36442632311,18355.96720218976,45381.70296376264
2011-04-08,20911.969481648972,7308.908584195557,32481.682238524732
2011-04-10,9127.217737813597,-4381.863883305664,22124.9190511282
2011-04-11,20845.019974674804,6787.678265927552,34911.71281626815
2011-04-12,25317.98126514624,11724.580242674076,37710.11282322979
