ds,yhat,yhat_lower,yhat_upper
2010-12-01,42465.68198313942,28817.43408976354,55797.61849241277
2010-12-02,50847.03700720368,37749.46329652661,64090.82537271529
2010-12-03,39688.45625750204,26025.29976096795,53504.64938624236
2010-12-05,27310.501665592063,13675.026358442248,41684.80753443376
2010-12-06,38473.62346436758,25114.80999182895,51624.73146155692
2010-12-07,42205.77185325758,27976.600669830186,55309.68947008474
2010-12-08,36254.00566252286,22574.67024116652,49170.18178236452
2010-12-09,43596.875053908785,30737.04074354386,57183.16330022855
2010-12-10,31438.886396169568,17466.507431358186,44930.05128445432
2010-12-12,17273.591905861,3694.160027960303,30455.554718864347
2010-12-13,27693.975631657126,14894.533678430587,41978.530620343896
2010-12-14,30811.644460501106,18596.412405503954,44434.41771167196
2010-12-15,24391.654638278775,10931.927565607957,37703.624754847326
2010-12-16,31427.740681989217,17587.79655519109,44518.46335113856
2010-12-17,19136.32678052542,5983.059155368188,31684.95552801114
2010-12-19,5253.414220447234,-7589.95712812327,18486.013513026228
2010-12-20,16094.150422349487,2110.462319128975,29505.543505858575
2010-12-21,19814.332760680314,6451.292120274259,33129.752303103596
2010-12-22,14170.792434531006,1055.6674199906163,27577.6682841272
2010-12-23,22144.95100688368,8035.024801036301,35437.33625210988
2011-01-04,23172.13064276354,10570.20698819327,36508.118108807284
2011-01-05,19818.524836894536,6873.531025871706,33528.87092031273
2011-01-06,29896.202024608712,16422.936377223814,44083.7420890866
2011-01-07,20564.019684443083,7079.483299806609,33819.19695760218
2011-01-09,12131.10217430233,-1772.9231119037652,25403.94862732354
2011-01-10,25360.16320674062,11746.729902944193,39821.339868609786
2011-01-11,31183.80877285201,18172.0213913667,45853.657438395756
2011-01-12,27321.063438301557,14388.557985646557,41405.37577844818
2011-01-13,36722.62575491308,22143.956541301137,50013.2844316206
2011-01-14,26565.814675038884,12740.219628574487,39749.7325861387
2011-01-16,16127.708329547228,2819.9416062837954,28981.285333786458
2011-01-17,28227.18134764016,14382.88051622576,41634.93150873817
2011-01-18,32873.38794426063,19445.794375930313,45960.21454589317
2011-01-19,27814.052969904544,13364.925132537235,41744.02182190863
2011-01-20,36028.59663094688,22721.68762137879,49162.81765852729
2011-01-21,24722.37272677444,10934.401568740266,38630.34639774064
2011-01-23,12202.89017228348,-1387.9509821708295,25650.674373654092
2011-01-24,23417.08289060993,9279.577441711384,36796.61747083058
2011-01-25,27307.876076890152,13034.109371891293,39797.5501152365
2011-01-26,21638.355526250947,8827.347473125503,35484.68741358942
2011-01-27,29399.41167713319,16488.870404334335,42487.954263008774
2011-01-28,17803.745475840584,5068.35503794262,31966.607341747087
2011-01-30,5205.658628894642,-8820.235296569032,18750.101110091633
2011-01-31,16624.214842210138,3488.410217397682,31923.517776166864
2011-02-01,20870.7727603414,7872.696179682898,34513.87117246152
2011-02-02,15695.501639194617,2452.142830185782,29088.294073773213
2011-02-03,24073.127665942582,10600.95269386399,37814.78488893471
2011-02-04,13197.418638517605,-312.6386581186942,26481.614387294692
2011-02-06,2263.1549550391283,-11503.77408523241,15478.24680049078
2011-02-07,14579.015578531782,347.1925490501185,27902.349743397626
2011-02-08,19734.422744996777,5962.840673261552,32962.9733578086
2011-02-09,15455.724351821358,2237.180801787487,29636.07019546715
2011-02-10,24694.759297528104,12470.629734554857,37749.0878207097
2011-02-11,14623.938702121419,1151.4353965023515,27659.449841566482
2011-02-13,5055.308504121833,-8253.687710600627,19193.301513041097
2011-02-14,17901.443471295544,4426.325432430609,31129.601472321934
2011-02-15,23470.364301687026,9506.422364679998,35633.248602692336
2011-02-16,19481.441667726467,6785.972489627377,32004.891611172072
2011-02-17,28883.161913486798,15641.21262708612,41668.207070224686
2011-02-18,18848.228823724327,6204.062442802154,32176.893736569476
2011-02-20,8989.81497740297,-3452.9094936584397,22070.887580787137
2011-02-21,21527.87015756398,7782.361112782966,34338.67818683946
2011-02-22,26696.492906269392,13807.759498548023,40997.921407463306
2011-02-23,22230.511485141662,8562.322783528376,35322.13779919339
2011-02-24,31095.72169215689,17213.08775576465,43921.67440644422
2011-02-25,20483.458642296697,7572.441186795155,33769.83874537294
2011-02-27,9425.688336457446,-2738.1933392857927,22073.502378677975
2011-02-28,21380.500729757223,8635.899392093273,34350.1520727143
2011-03-01,26001.506196726554,12749.944976243154,39659.07245041175
2011-03-02,21040.350881229868,8098.357841620752,34503.655229444375
2011-03-03,29477.729457813522,16298.301707770921,42579.019636489495
2011-03-04,18517.549526134007,4717.967842617493,32054.430660146747
2011-03-06,7040.418008484121,-7097.7838223514555,21131.04990221771
2011-03-07,18934.69460142526,5564.656766365105,32947.60054154886
2011-03-08,23596.65406543468,9577.891829734072,36818.51332433052
